case,ca1,ca2,ca3
I29,12.401081,16.302431,17.090761
I29,13.933738,15.68646,18.339037
I29,13.139664,15.197638,17.83909
I29,13.046467,16.365742,17.779772
I29,14.560499,18.02846,18.918903
I29,13.874704,18.114244,15.588826
I29,15.35642,14.686357,16.757696
I29,14.094126,16.70863,16.580139
I29,13.045835,17.346189,16.344585
I29,13.648621,15.764107,16.818562
I29,13.539515,18.291309,18.597433
I29,13.941275,15.782473,16.216282
I29,15.504169,16.459356,16.18185
I29,13.906745,16.07696,15.908884
I29,13.523116,18.381323,17.504078
I29,14.772414,17.949619,17.119776
I29,15.599437,18.02981,16.297554
I29,13.424559,17.840597,16.450195
I36,13.641401,16.187927,16.225655
I36,13.818306,16.6022,17.275431
I36,13.987633,17.379568,16.981182
I36,12.239042,13.2659,17.836603
I36,14.526887,17.92565,16.660534
I36,13.738751,17.187525,16.172304
I36,13.963153,15.009018,16.61409
I36,13.887558,16.225502,16.591589
I36,14.731041,15.252418,16.79063
I36,13.826312,16.76976,16.769474
I36,15.204415,17.135525,17.987085
I36,14.49028,15.165154,15.441621
I36,14.142857,16.519665,17.083839
I36,15.215406,15.034929,15.809061
I36,13.16417,16.022367,15.296987
I36,13.92435,15.73547,17.47208
I36,12.320965,16.076765,16.220629
I36,13.208136,15.638732,16.398027
I42,14.215419,15.508377,15.277888
I42,14.49511,14.760794,16.645685
I42,13.433291,16.516924,15.629088
I42,14.283205,15.130372,16.813881
I42,13.429087,16.947641,15.109236
I42,13.001126,15.838438,15.726357
I42,14.509703,15.282516,15.965886
I42,14.974144,16.516024,15.457582
I42,15.288147,16.685892,16.244396
I42,13.318274,16.907091,14.992933
I42,13.123044,16.113081,15.949244
I42,14.575057,16.98315,16.460411
I42,12.93707,16.184425,17.129633
I42,13.133189,17.740579,15.80887
I42,13.22578,15.356487,15.555614
I42,13.817595,15.508429,17.074131
I42,14.734073,16.61195,17.122276
I42,13.529848,16.451218,18.293081
I47,12.901472,16.622417,16.848301
I47,13.210646,15.387642,16.981413
I47,13.570029,15.180288,16.736116
I47,13.543409,16.94758,18.114641
I47,13.123267,18.180883,16.062731
I47,14.85455,17.334824,16.91301
I47,12.742976,16.992125,15.773185
I47,12.295648,18.607008,16.384912
I47,13.168291,17.132624,15.672819
I47,12.946104,16.09252,17.980223
I47,14.714721,15.820303,15.856997
I47,12.652744,16.837238,17.413843
I47,13.516694,15.657106,16.787542
I47,14.590897,15.538556,16.298166
I47,13.058501,15.672252,15.089828
I47,13.310497,16.087744,16.913885
I47,13.860114,15.553503,17.424511
I47,15.035027,16.531073,15.001576
I49,15.581578,15.361912,17.048586
I49,14.132619,16.569538,17.281378
I49,13.415799,16.29591,16.116026
I49,14.104096,15.501046,15.799322
I49,12.779425,16.645985,16.517811
I49,14.625397,15.505303,17.214476
I49,14.959496,16.03566,15.662044
I49,14.792715,16.4652,17.131729
I49,15.070388,16.290539,16.5774
I49,14.026293,18.308889,16.360485
I49,13.179029,16.680063,16.324944
I49,15.21657,16.441145,17.138456
I49,15.742014,15.840342,17.048586
I49,13.885985,16.903269,17.281378
I49,12.72524,17.392456,16.116026
I49,13.953962,15.472589,15.799322
I49,15.639132,16.03669,16.517811
I49,14.33051,17.688656,17.214476
