"","Family","avgVisitPercent","avgPrice","avgRent","avgRentWithSet","avgRentHotel","avgImproveCost","avgRailRoad"
"1","Cards",2.3475,0,0,0,0,0,0
"2","Corners",3.44458333333333,0,0,0,0,0,0
"3","Dark Blue",2.13333333333333,375,42.5,85,1750,200,0
"4","Green",2.41,306.666666666667,26.6666666666667,53.3333333333333,1316.66666666667,200,0
"5","Light Blue",2.15444444444444,106.666666666667,6.66666666666667,13.3333333333333,566.666666666667,50,0
"6","Magenta",2.42444444444444,146.666666666667,10.6666666666667,21.3333333333333,800,100,0
"7","Orange",2.67833333333333,186.666666666667,14.6666666666667,29.3333333333333,966.666666666667,100,0
"8","Purple",1.99583333333333,60,3,6,350,50,0
"9","Railroads",2.63541666666667,200,0,0,0,0,25
"10","Red",2.70277777777778,226.666666666667,18.6666666666667,37.3333333333333,1066.66666666667,150,0
"11","Tax",2.11083333333333,0,0,0,0,0,0
"12","Utilities",2.31333333333333,150,0,0,0,0,0
"13","Yellow",2.45944444444444,266.666666666667,22.6666666666667,45.3333333333333,1166.66666666667,150,0
